Species_ID_shark-references,Genus,Species,Author,,
2160,Etmopterus,bullisi,"BIGELOW & SCHROEDER, 1957",,
2161,Etmopterus,burgessi,"SCHAAF-DA SILVA & EBERT, 2006",,
2163,Etmopterus,carteri,"SPRINGER & BURGESS, 1985",,
2164,Etmopterus,caudistigmus,"LAST, BURGESS & SÉRET, 2002",,
2166,Etmopterus,compagnoi,"FRICKE & KOCH, 1990",,
2167,Etmopterus,decacuspidatus,"CHAN, 1966",,
2168,Etmopterus,dianthus,"LAST, BURGESS & SÉRET, 2002",,
2169,Etmopterus,dislineatus,"LAST, BURGESS & SÉRET, 2002",,
2170,Etmopterus,evansi,"LAST, BURGESS & SÉRET, 2002",,
2172,Etmopterus,fusus,"LAST, BURGESS & SÉRET, 2002",,
2173,Etmopterus,gracilispinis,"KREFFT, 1968",,
2174,Etmopterus,granulosus,"(GÜNTHER, 1880)",,
2175,Etmopterus,hillianus,"(POEY, 1861)",,
11011,Etmopterus,joungi,"KNUCKEY, EBERT & BURGESS, 2011",,
2176,Etmopterus,litvinovi,"PARIN & KOTLYAR, 1990",,
